EZID	GENE	GeneType	CHR	FROM	TO
4524	MTHFR	coding	1	11845779	11866020
3586	IL10	coding	1	206940946	206945838
1401	CRP	coding	1	159682078	159684378
5743	PTGS2	coding	1	186640922	186649554
2475	MTOR	coding	1	11166591	11322607
2944	GSTM1	coding	1	110230438	110236366
4879	NPPB	coding	1	11917520	11919001
2153	F5	coding	1	169481188	169555718
142	PARP1	coding	1	226548391	226595793
183	AGT	coding	1	230838268	230881328
4582	MUC1	coding	1	155158299	155162705
114548	NLRP3	coding	1	247579474	247612118
4000	LMNA	coding	1	156052363	156109871
3075	CFH	coding	1	196621172	196716633
3725	JUN	coding	1	59246462	59249718
23435	TARDBP	coding	1	11072710	11085548
255738	PCSK9	coding	1	55505220	55530524
3065	HDAC1	coding	1	32757683	32799226
6513	SLC2A1	coding	1	43391023	43424538
407040	MIR34A	pseudo	1	9211726	9211835
4170	MCL1	coding	1	150547033	150552085
2152	F3	coding	1	94994728	95007314
3953	LEPR	coding	1	65886334	66107241
7161	TP73	coding	1	3569079	3652764
356	FASLG	coding	1	172628242	172636015
26191	PTPN22	coding	1	114356432	114414380
1116	CHI3L1	coding	1	203148058	203155831
2629	GBA	coding	1	155204242	155214417
6280	S100A9	coding	1	153330329	153333498
998	CDC42	coding	1	22379201	22427852
7412	VCAM1	coding	1	101185297	101204600
2312	FLG	coding	1	152274640	152297714
4893	NRAS	coding	1	115247089	115259391
7139	TNNT2	coding	1	201328141	201346807
2212	FCGR2A	coding	1	161475246	161489618
7133	TNFRSF1B	coding	1	12227047	12269276
11315	PARK7	coding	1	8021770	8045564
2214	FCGR3A	coding	1	161511548	161520526
3570	IL6R	coding	1	154377818	154441925
4904	YBX1	coding	1	43148088	43169475
864	RUNX3	coding	1	25226001	25291500
65018	PINK1	coding	1	20959950	20978003
6403	SELP	coding	1	169558086	169599361
6401	SELE	coding	1	169691780	169703219
3932	LCK	coding	1	32716865	32751765
6464	SHC1	coding	1	154934773	154946851
149233	IL23R	coding	1	67632136	67725661
947	CD34	coding	1	208054316	208084469
24	ABCA4	coding	1	94458389	94586703
6275	S100A4	coding	1	153516096	153518281
4803	NGF	coding	1	115828537	115880869
1969	EPHA2	coding	1	16450831	16482563
252995	FNDC5	coding	1	33327868	33338084
4914	NTRK1	coding	1	156785541	156851641
103	ADAR	coding	1	154554532	154600472
23028	KDM1A	coding	1	23345960	23410181
842	CASP9	coding	1	15817895	15851284
4595	MUTYH	coding	1	45794913	45806111
6279	S100A8	coding	1	153362507	153395058
462	SERPINC1	coding	1	173872937	173886464
4548	MTR	coding	1	236958580	237067280
5788	PTPRC	coding	1	198608169	198726604
2052	EPHX1	coding	1	225997825	226033263
632	BGLAP	coding	1	156211974	156213107
249	ALPL	coding	1	21835476	21904902
3814	KISS1	coding	1	204159468	204165618
4653	MYOC	coding	1	171604556	171621827
8289	ARID1A	coding	1	27022505	27108594
10763	NES	coding	1	156638554	156647198
7042	TGFB2	coding	1	218518677	218617960
3925	STMN1	coding	1	26210669	26233370
3491	CCN1	coding	1	86046443	86049632
4878	NPPA	coding	1	11905765	11907839
3290	HSD11B1	coding	1	209859523	209908273
27185	DISC1	coding	1	231762535	232177017
3716	JAK1	coding	1	65298911	65533428
10630	PDPN	coding	1	13910251	13944451
1378	CR1	coding	1	207669501	207815109
5972	REN	coding	1	204123946	204135464
9927	MFN2	coding	1	12040500	12073564
58	ACTA1	coding	1	229566991	229569840
6262	RYR2	coding	1	237205483	237997287
5590	PRKCZ	coding	1	1981849	2116833
1269	CNR2	coding	1	24197004	24239851
943	TNFRSF8	coding	1	12123359	12204263
1806	DPYD	coding	1	97543298	98386614
55600	ITLN1	coding	1	160846329	160854969
6548	SLC9A1	coding	1	27425299	27481615
5320	PLA2G2A	coding	1	20301923	20306926
467	ATF3	coding	1	212738748	212794118
1435	CSF1	coding	1	110453470	110473613
406988	MIR205	pseudo	1	209605477	209605586
1604	CD55	coding	1	207495022	207534310
406996	MIR214	pseudo	1	172107937	172108046
4194	MDM4	coding	1	204485533	204527247
406928	MIR137	pseudo	1	98511625	98511726
6390	SDHB	coding	1	17345216	17380526
4352	MPL	coding	1	43803488	43820136
6007	RHD	coding	1	25598976	25656935
4179	CD46	coding	1	207925382	207968860
4853	NOTCH2	coding	1	120454175	120612275
60674	GAS5	pseudo	1	173833036	173838019
2023	ENO1	coding	1	8921058	8938744
5052	PRDX1	coding	1	45976722	45988561
7100	TLR5	coding	1	223282745	223316589
10628	TXNIP	coding	1	145438489	145442634
9636	ISG15	coding	1	948876	949919
991	CDC20	coding	1	43824651	43828873
5321	PLA2G4A	coding	1	186798080	186958112
919	CD247	coding	1	167399876	167487765
1513	CTSK	coding	1	150768683	150780735
2213	FCGR2B	coding	1	161617032	161648443
406984	MIR200B	pseudo	1	1102483	1102577
6402	SELL	coding	1	169659807	169680760
3664	IRF6	coding	1	209958961	209979486
1901	S1PR1	coding	1	101702454	101707073
23569	PADI4	coding	1	17634691	17690498
5664	PSEN2	coding	1	227058316	227083798
405	ARNT	coding	1	150782188	150849074
6566	SLC16A1	coding	1	113454468	113498817
2215	FCGR3B	coding	1	161592985	161601752
2810	SFN	coding	1	27189639	27190946
912	CD1D	coding	1	158147819	158156216
11009	IL24	coding	1	207070787	207077483
4359	MPZ	coding	1	161274524	161279757
89780	WNT3A	coding	1	228194698	228248971
51094	ADIPOR1	coding	1	202909952	202927699
79679	VTCN1	coding	1	117686208	117753548
5451	POU2F1	coding	1	167190121	167396581
5906	RAP1A	coding	1	112084630	112259316
2166	FAAH	coding	1	46859988	46879516
406983	MIR200A	pseudo	1	1103242	1103331
8290	H3-4	coding	1	228612545	228613060
7827	NPHS2	coding	1	179519673	179545082
2532	ACKR1	coding	1	159174664	159176289
1660	DHX9	coding	1	182808481	182857116
54583	EGLN1	coding	1	231499501	231558032
2209	FCGR1A	coding	1	149754249	149772164
1520	CTSS	coding	1	150702663	150738253
10657	KHDRBS1	coding	1	32479468	32526450
22926	ATF6	coding	1	161736109	161933859
1131	CHRM3	coding	1	239549867	240078749
476	ATP1A1	coding	1	116915865	116947395
6278	S100A7	coding	1	153430219	153433126
375	ARF1	coding	1	228270408	228286912
3428	IFI16	coding	1	158969765	159024940
4070	TACSTD2	coding	1	59041104	59042923
1118	CHIT1	coding	1	203185206	203198800
10000	AKT3	coding	1	243651534	244014380
406995	MIR181A1	pseudo	1	198828172	198828281
1647	GADD45A	coding	1	68150883	68154016
2170	FABP3	coding	1	31838099	31845922
79577	CDC73	coding	1	193091160	193223944
5293	PIK3CD	coding	1	9711788	9789171
7292	TNFSF4	coding	1	173152869	173176469
6041	RNASEL	coding	1	182542768	182558390
6272	SORT1	coding	1	109852196	109940539
8863	PER3	coding	1	7844350	7905236
3339	HSPG2	coding	1	22148736	22263802
2271	FH	coding	1	241660902	241683054
6283	S100A12	coding	1	153346186	153348096
406893	MIR101-1	pseudo	1	65524116	65524190
336	APOA2	coding	1	161192081	161193417
1380	CR2	coding	1	207627672	207663236
107126361	CD2-LCR	pseudo	1	117311838	117317447
1441	CSF3R	coding	1	36931643	36948914
79727	LIN28A	coding	1	26737307	26756218
389	RHOC	coding	1	113243752	113250029
3918	LAMC2	coding	1	183155398	183214261
6708	SPTA1	coding	1	158580493	158656504
2494	NR5A2	coding	1	199996837	200146542
2328	FMO3	coding	1	171060045	171086958
7399	USH2A	coding	1	215796232	216596789
2205	FCER1A	coding	1	159253364	159277991
9641	IKBKE	coding	1	206643818	206670221
2048	EPHB2	coding	1	23037330	23247992
407046	MIR9-1	pseudo	1	156390132	156390220
7391	USF1	coding	1	161009040	161015766
712	C1QA	coding	1	22962955	22966170
4751	NEK2	coding	1	211831597	211848962
5997	RGS2	coding	1	192778168	192781404
1573	CYP2J2	coding	1	60358979	60392444
5710	PSMD4	coding	1	151227209	151239954
6121	RPE65	coding	1	68894504	68915636
477	ATP1A2	coding	1	160085548	160113380
9588	PRDX6	coding	1	173446473	173457953
3604	TNFRSF9	coding	1	7975930	8000898
7170	TPM3	coding	1	154127783	154164575
6195	RPS6KA1	coding	1	26856251	26901515
5629	PROX1	coding	1	214161315	214214852
50848	F11R	coding	1	160965000	160990941
407026	MIR29C	pseudo	1	207975196	207975283
6097	RORC	coding	1	151778546	151804277
8915	BCL10	coding	1	85731458	85742314
10456	HAX1	coding	1	154245104	154248350
6421	SFPQ	coding	1	35641980	35658745
